question_id,is_applicable,score,comment
db-migrations,yes,3,No migrations; schema changes done manually in prod
sql-normal-forms,yes,5,Some normalization; a few redundant columns
nosql-dto-safety,no,,Relational DB only; no document store
db-er-documentation,yes,2,Only ORM entities; no ER diagram
backup-system,yes,4,Weekly backups; restore not tested recently
db-connection-management,yes,8,Connection pooling in use; limits set
db-network-isolation,yes,7,DB in private subnet; admin via tunnel
secrets-management,yes,5,Some in env; one key still in config
auth-mechanism,yes,7,JWT in place; no hardcoded passwords
payments-and-sensitive-data,no,,No payment or card data collected
input-validation,yes,6,Validation on API inputs; some paths could be stricter
security-headers-cors,yes,5,CORS restricted; some security headers missing
rate-limiting,yes,4,Basic rate limit on login only
https-tls,yes,8,HTTPS in prod; cert auto-renewal
data-retention-legal,yes,4,No formal retention policy; B2B API keys in use
admin-panel,yes,3,No admin UI; DB access for support
audit-logging,yes,3,Only auth events logged; no admin audit trail
session-auth-expiry,yes,6,JWT expiry set; refresh flow in place
no-secrets-in-user-output,yes,8,No secrets in API responses; env not in errors
api-contract,no,,Simple API; 2 controllers; contract would be overkill
api-versioning,no,,Simple API; no versioning yet
platform-fit-for-use-case,no,,Custom Go backend; no no-code/BaaS platform
platform-limits-understood,no,,Custom backend; not using Lovable/Supabase etc
platform-lock-in-and-exit,no,,No vendor platform in use
resource-cost-awareness,yes,5,Basic cloud billing alerts; no formal budget
prompt-management,no,,No LLM in this app
token-cost-management,no,,No LLM in this app
llm-output-validation,no,,No LLM in this app
centralized-logging,yes,2,Only console.log and local files
error-collection,no,,Backend-only API; no client-side error tracking
health-readiness-endpoints,yes,6,/health and /ready; ready does not check DB
monitoring-alerting,yes,4,Metrics in place; no alerting configured
user-facing-errors-and-logging,yes,6,Safe API error responses; logging to stdout
non-prod-env,yes,2,Only prod and local; no staging
rollback-approach,yes,3,Manual redeploy of previous image; not documented
environment-description,yes,5,README has basic stack; no full env spec
microservices-scale,yes,9,Monolith; ~50 users; appropriate
backend-tech-applicability,yes,6,Go backend; some critical paths could be stricter
timeouts-considered,yes,7,Timeouts on HTTP client and DB; one external call unbounded
idempotency-critical-ops,yes,5,Idempotency keys on payment path; not on all critical ops
caching-strategy,yes,6,Cache for session; TTL set; invalidation on logout
config-management,yes,6,Env vars for config; no feature flags
stateful-session-handling,yes,8,Stateless JWT; no sticky sessions needed
multi-tenant-isolation,no,,Single-tenant app
graceful-degradation,yes,5,Timeouts on external calls; no offline handling (API only)
circuit-breaker,no,,Simple app; not many external deps
resource-request-isolation,yes,6,Connection limits; no per-request isolation
bottleneck-one-slow-thing,yes,7,No single blocking query; one export could be throttled
regression-testing,yes,4,Unit tests for core; no e2e or integration suite
code-reusability,yes,5,Some shared components; some copy-paste
libraries-stable,yes,7,Go modules; mostly current
libraries-standard-practice,yes,8,Standard lib and known deps; one custom helper
no-oversized-files,yes,8,Max file ~600 LOC; no files over 1000
dependency-scanning,yes,6,Dependabot enabled; not blocking
static-analysis-lint-ci,yes,7,golangci-lint in CI; blocks on failure
code-review,yes,6,AI-assisted PR review; solo dev
cicd-pipeline,yes,5,GitHub Actions build and test; manual prod deploy
feature-flags-rollouts,yes,3,No feature flags; full deploy per change
deploy-repeatable-automated,yes,6,Scripted deploy; some manual steps
background-jobs-configured,no,,No background jobs; sync only
readme-local-run,yes,7,README with docker-compose and env vars
deploy-docs,yes,4,Deploy steps in wiki; not in repo
changelog-release-notes,yes,3,Tagged releases; no changelog
ui-design-consistency,no,,No UI; API only
git-usage,yes,6,Single repo; main branch only; no formal strategy
